Year,CommodityCode,CropName,CountyCode,County,HarvestedAcres,Yield(Unit/Acre),Production,Price(Dollars/Unit),Unit,Value(Dollars)
2020,216299,GRAPESWINE,1,Alameda,2530,5.14,13000,1497.69,Tons,19470000
2020,216299,GRAPESWINE,5,Amador,5360,2.31,12400,1318.31,Tons,16347000
2020,216299,GRAPESWINE,9,Calaveras,579,3.06,1770,1325.99,Tons,2347000
2020,216299,GRAPESWINE,11,Colusa,747,6.02,4500,684.67,Tons,3081000
2020,216299,GRAPESWINE,13,ContraCosta,1940,4.69,9090,751.27,Tons,6829000
2020,216299,GRAPESWINE,17,ElDorado,2620,2.38,6240,1548.56,Tons,9663000
2020,216299,GRAPESWINE,19,Fresno,56900,12.13,690000,362.14,Tons,249877000
2020,216299,GRAPESWINE,29,Kern,25200,7.54,190000,314.04,Tons,59668000
2020,216299,GRAPESWINE,31,Kings,3590,16.46,59100,286.87,Tons,16954000
2020,216299,GRAPESWINE,33,Lake,9580,4.12,39500,1329.37,Tons,52510000
2020,216299,GRAPESWINE,39,Madera,33000,11.82,390000,348.98,Tons,136101000
2020,216299,GRAPESWINE,41,Marin,195,1.33,260,3607.69,Tons,938000
2020,216299,GRAPESWINE,45,Mendocino,16400,3.37,55200,1488.8,Tons,82182000
2020,216299,GRAPESWINE,47,Merced,13200,10.91,144000,440.41,Tons,63419000
2020,216299,GRAPESWINE,53,Monterey,44900,2.1,94300,1123.98,Tons,105991000
2020,216299,GRAPESWINE,55,Napa,45200,2.2,99300,4646.48,Tons,461395000
2020,216299,GRAPESWINE,57,Nevada,408,,,,,2666000
2020,216299,GRAPESWINE,61,Placer,315,2.79,879,2235.49,Tons,1965000
2020,216299,GRAPESWINE,65,Riverside,1740,6.72,11700,1623.93,Tons,19000000
2020,216299,GRAPESWINE,67,Sacramento,36000,8.19,295000,528.73,Tons,155975000
2020,216299,GRAPESWINE,69,SanBenito,4740,5.23,24800,1402.14,Tons,34773000
2020,216299,GRAPESWINE,71,SanBernardino,372,0.61,227,1938.33,Tons,440000
2020,216299,GRAPESWINE,73,SanDiego,1370,2.24,3070,1695.77,Tons,5206000
2020,216299,GRAPESWINE,77,SanJoaquin,91200,6.67,608000,560.71,Tons,340913000
2020,216299,GRAPESWINE,79,SanLuisObispo,43800,3.04,133000,1640.89,Tons,218238000
2020,216299,GRAPESWINE,81,SanMateo,176,,,,,1312000
2020,216299,GRAPESWINE,83,SantaBarbara,14400,2.97,42800,2192.43,Tons,93836000
2020,216299,GRAPESWINE,85,SantaClara,1730,3.49,6040,1983.77,Tons,11982000
2020,216299,GRAPESWINE,87,SantaCruz,670,2.39,1600,3008.75,Tons,4814000
2020,216299,GRAPESWINE,89,Shasta,200,2.5,500,1000,Tons,500000
2020,216299,GRAPESWINE,95,Solano,4000,5.6,22400,945.94,Tons,21189000
2020,216299,GRAPESWINE,97,Sonoma,56800,2.61,148000,2375.08,Tons,351512000
2020,216299,GRAPESWINE,99,Stanislaus,8500,9.49,80700,440.61,Tons,35557000
2020,216299,GRAPESWINE,103,Tehama,138,4.23,584,1804.79,Tons,1054000
2020,216299,GRAPESWINE,107,Tulare,6500,17.23,112000,317,Tons,35504000
2020,216299,GRAPESWINE,113,Yolo,19200,7.81,150000,699.67,Tons,104951000
2019,216299,GRAPESWINE,1,Alameda,3390,5.34,18100,1503.04,Tons,27205000
2019,216299,GRAPESWINE,5,Amador,4880,3.55,17300,1250,Tons,21625000
2019,216299,GRAPESWINE,9,Calaveras,711,4.5,3200,1419.69,Tons,4543000
2019,216299,GRAPESWINE,11,Colusa,1890,8.84,16700,806.35,Tons,13466000
2019,216299,GRAPESWINE,13,ContraCosta,2140,5.47,11700,809.4,Tons,9470000
2019,216299,GRAPESWINE,17,ElDorado,2640,2.66,7020,1722.51,Tons,12092000
2019,216299,GRAPESWINE,19,Fresno,53500,13.83,740000,343.65,Tons,254300000
2019,216299,GRAPESWINE,29,Kern,28500,8.46,241000,238.81,Tons,57554000
2019,216299,GRAPESWINE,31,Kings,3670,17.19,63100,268.86,Tons,16965000
2019,216299,GRAPESWINE,33,Lake,9340,5.05,47200,1773.62,Tons,83715000
2019,216299,GRAPESWINE,39,Madera,34100,11.26,384000,340.01,Tons,130562000
2019,216299,GRAPESWINE,41,Marin,195,2.08,406,3371.92,,1369000
2019,216299,GRAPESWINE,43,Mariposa,73,0.52,38,1263.16,Tons,48000
2019,216299,GRAPESWINE,45,Mendocino,16500,4.11,67800,1678.6,Tons,113809000
