"COU","Country","VAR","Variable","SOU","Source","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","FIT_USD","Mean feed-in tariff","WIND","Wind","2000","2000","USD","US Dollar","0","Units",,,0,,
"AUS","Australia","FIT_USD","Mean feed-in tariff","WIND","Wind","2001","2001","USD","US Dollar","0","Units",,,0,,
"AUS","Australia","FIT_USD","Mean feed-in tariff","WIND","Wind","2002","2002","USD","US Dollar","0","Units",,,0,,
"AUS","Australia","FIT_USD","Mean feed-in tariff","WIND","Wind","2003","2003","USD","US Dollar","0","Units",,,0,,
"AUS","Australia","FIT_USD","Mean feed-in tariff","WIND","Wind","2004","2004","USD","US Dollar","0","Units",,,0,,
"AUS","Australia","FIT_USD","Mean feed-in tariff","WIND","Wind","2005","2005","USD","US Dollar","0","Units",,,0,,
"AUS","Australia","FIT_USD","Mean feed-in tariff","WIND","Wind","2006","2006","USD","US Dollar","0","Units",,,0,,
"AUS","Australia","FIT_USD","Mean feed-in tariff","WIND","Wind","2007","2007","USD","US Dollar","0","Units",,,0,,
"AUS","Australia","FIT_USD","Mean feed-in tariff","WIND","Wind","2008","2008","USD","US Dollar","0","Units",,,0,,
"AUS","Australia","FIT_USD","Mean feed-in tariff","WIND","Wind","2009","2009","USD","US Dollar","0","Units",,,0,,
"AUS","Australia","FIT_USD","Mean feed-in tariff","WIND","Wind","2010","2010","USD","US Dollar","0","Units",,,0,,
"AUS","Australia","FIT_USD","Mean feed-in tariff","WIND","Wind","2011","2011","USD","US Dollar","0","Units",,,0,,
"AUS","Australia","FIT_USD","Mean feed-in tariff","WIND","Wind","2012","2012","USD","US Dollar","0","Units",,,0,,
"AUS","Australia","FIT_USD","Mean feed-in tariff","WIND","Wind","2013","2013","USD","US Dollar","0","Units",,,0,,
"AUS","Australia","FIT_USD","Mean feed-in tariff","WIND","Wind","2014","2014","USD","US Dollar","0","Units",,,0,,
